NUMBER	CVV	SYSTEM	LOC	EXP	PIN	USER	PASS	TYPE	NOTE	SOURCE
1354 1001 4004 955	NONE	UATP	-	03/2030	-	-	-	-	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 1000 0008	737	MASTERCARD	CA	03/2030	-	-	-	Credit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 1000 0008	737	MASTERCARD	CA	03/2030	-	-	-	Credit	3Dsecure enrolled	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 3000 0004	737	MASTERCARD	CA	03/2030	-	-	-	Fleet Credit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 5000 0009	737	MASTERCARD	CA	03/2030	-	-	-	Purchasing Credit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 6000 0007	737	MASTERCARD	CA	03/2030	-	-	-	Debit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4000 7000 0005	737	MASTERCARD	CA	03/2030	-	-	-	Commercial Debit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4107 0000 0002	737	MASTERCARD	NL	03/2030	-	-	-	Corporate Credit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2222 4107 4036 0010	737	MASTERCARD	NL	03/2030	-	-	-	Corporate	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2223 0000 4841 0010	737	MASTERCARD	NL	03/2030	-	-	-	Credit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
2223 0031 2200 3222	ANY_3	MASTERCARD	-	ANY_FD	-	-	-	-	2xxx-series	https://docs.stripe.com/testing?testing-method=card-numbers
2223 5204 4356 0010	737	MASTERCARD	NL	03/2030	-	-	-	Debit	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
3056 9300 0902 0004	ANY_3	DINERSCLUB	-	ANY_FD	-	-	-	-	-	https://docs.stripe.com/testing?testing-method=card-numbers
3056 9309 0259 04	737	DINERSCLUB	-	03/2030	-	-	-	-	3Dsecure enrolled	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
3566 0020 2036 0505	ANY_3	JCB	-	ANY_FD	-	-	-	-	-	https://docs.stripe.com/testing?testing-method=card-numbers
3566 1111 1111 1113	737	JCB	-	03/2030	-	-	-	Mastercard 	3Dsecure enrolled	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
3569 9900 1009 5841	737	JCB	US	03/2030	-	-	-	Consumer	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
3600 6666 3333 44	737	DINERSCLUB	US	03/2030	-	-	-	-	-	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
3607 0500 0010 20	737	DINERSCLUB	NL	03/2030	-	-	-	-	Security code optional	https://docs.adyen.com/development-resources/test-cards-and-credentials/test-card-numbers/
